# theta  delta1  delta2  norm1  norm2  E_N  S  rank_eff
0.00000000e+00 2.47470451e-01 -9.93578220e-10 9.95185135e-01 9.99999998e-01 -6.40685301e-16 6.40685301e-16 1.00000000e+00
4.98665501e-02 2.43798787e-01 -9.79579029e-10 9.95241685e-01 9.99999998e-01 2.23814353e-01 5.65722375e-02 2.00000000e+00
9.97331001e-02 2.33111130e-01 -9.42830924e-10 9.95408987e-01 9.99999998e-01 4.27976454e-01 1.71119437e-01 3.00000000e+00
1.49599650e-01 2.16376061e-01 -8.96424435e-10 9.95679921e-01 9.99999998e-01 6.11325405e-01 3.09370795e-01 3.00000000e+00
1.99466200e-01 1.95133188e-01 -8.54781357e-10 9.96042418e-01 9.99999998e-01 7.72494396e-01 4.52363529e-01 4.00000000e+00
2.49332750e-01 1.71011991e-01 -8.27033497e-10 9.96479333e-01 9.99999998e-01 9.10704919e-01 5.88227907e-01 4.00000000e+00
2.99199300e-01 1.45174943e-01 -8.16569812e-10 9.96968629e-01 9.99999998e-01 1.02623923e+00 7.09877233e-01 4.00000000e+00
3.49065850e-01 1.19195608e-01 -8.49915471e-10 9.97484167e-01 9.99999998e-01 1.12049248e+00 8.13718564e-01 4.00000000e+00
3.98932400e-01 9.44436535e-02 -1.17665044e-09 9.97997369e-01 9.99999998e-01 1.19571829e+00 8.98770960e-01 4.00000000e+00
4.48798951e-01 7.17151446e-02 -3.40856410e-09 9.98479880e-01 9.99999993e-01 1.25459865e+00 9.65918228e-01 4.00000000e+00
4.98665501e-01 5.17776235e-02 -1.59316585e-08 9.98906966e-01 9.99999968e-01 1.29986362e+00 1.01719386e+00 4.00000000e+00
5.48532051e-01 3.49746959e-02 -7.49806852e-08 9.99260999e-01 9.99999850e-01 1.33400108e+00 1.05513627e+00 5.00000000e+00
5.98398601e-01 2.15025288e-02 -3.11380330e-07 9.99534013e-01 9.99999377e-01 1.35910762e+00 1.08228884e+00 5.00000000e+00
6.48265151e-01 1.13710774e-02 -1.12117653e-06 9.99728352e-01 9.99997758e-01 1.37682572e+00 1.10087759e+00 5.00000000e+00
6.98131701e-01 4.49905815e-03 -3.51320641e-06 9.99854951e-01 9.99992974e-01 1.38836405e+00 1.11264617e+00 5.00000000e+00
7.47998251e-01 7.84941272e-04 -9.65705490e-06 9.99929739e-01 9.99980686e-01 1.39452515e+00 1.11879845e+00 6.00000000e+00
7.97864801e-01 -1.52869204e-05 6.63840110e-05 9.99969426e-01 9.99952998e-01 1.39573585e+00 1.11999607e+00 6.00000000e+00
8.47731351e-01 -5.91756001e-06 2.25722671e-03 9.99988165e-01 9.99897748e-01 1.39208263e+00 1.11637044e+00 5.00000000e+00
8.97597901e-01 -2.01853121e-06 7.53494449e-03 9.99995963e-01 9.99799190e-01 1.38330825e+00 1.10752633e+00 5.00000000e+00
9.47464451e-01 -6.01453930e-07 1.60171417e-02 9.99998797e-01 9.99640499e-01 1.36880460e+00 1.09253235e+00 5.00000000e+00
9.97331001e-01 -1.55521490e-07 2.78168344e-02 9.99999689e-01 9.99407720e-01 1.34757090e+00 1.06991213e+00 5.00000000e+00
1.04719755e+00 -3.49910337e-08 4.29648431e-02 9.99999930e-01 9.99093858e-01 1.31818217e+00 1.03766823e+00 4.00000000e+00
1.09706410e+00 -7.22109200e-09 6.13520172e-02 9.99999986e-01 9.98701657e-01 1.27876955e+00 9.93386470e-01 4.00000000e+00
1.14693065e+00 -1.81320264e-09 8.27877991e-02 9.99999996e-01 9.98244135e-01 1.22702793e+00 9.34474487e-01 4.00000000e+00
1.19679720e+00 -9.35598210e-10 1.06557438e-01 9.99999998e-01 9.97742875e-01 1.16032231e+00 8.58573316e-01 4.00000000e+00
1.24666375e+00 -8.22515112e-10 1.32115312e-01 9.99999998e-01 9.97224874e-01 1.07590072e+00 7.64137456e-01 4.00000000e+00
1.29653030e+00 -8.19324275e-10 1.58172198e-01 9.99999998e-01 9.96718986e-01 9.71242779e-01 6.51124404e-01 4.00000000e+00
1.34639685e+00 -8.38906167e-10 1.83372179e-01 9.99999998e-01 9.96252841e-01 8.44479330e-01 5.21723810e-01 4.00000000e+00
1.39626340e+00 -8.74255668e-10 2.06209791e-01 9.99999998e-01 9.95850677e-01 6.94751010e-01 3.81148022e-01 4.00000000e+00
