# theta  delta1  delta2  norm1  norm2  E_N  S
0.00000000e+00 3.14540935e-01 -9.93577887e-10 9.96569909e-01 9.99999998e-01 6.40685301e-16 -9.61027951e-16
4.98665501e-02 3.07169602e-01 -9.93019666e-10 9.96569878e-01 9.99999998e-01 2.88923284e-01 9.07045678e-02
9.97331001e-02 2.86308168e-01 -9.91532745e-10 9.96570416e-01 9.99999998e-01 5.33896520e-01 2.62823599e-01
1.49599650e-01 2.54753601e-01 -9.89578419e-10 9.96572410e-01 9.99999998e-01 7.33147107e-01 4.53158251e-01
1.99466200e-01 2.16414952e-01 -9.89419491e-10 9.96575884e-01 9.99999998e-01 8.85522294e-01 6.28022342e-01
2.49332750e-01 1.75579730e-01 -1.05543074e-09 9.96580263e-01 9.99999998e-01 9.94490106e-01 7.69933224e-01
2.99199300e-01 1.36001961e-01 -2.55603672e-09 9.96584935e-01 9.99999995e-01 1.06770093e+00 8.73868274e-01
3.49065850e-01 1.00917771e-01 -2.49803780e-08 9.96589528e-01 9.99999950e-01 1.11428924e+00 9.43369229e-01
3.98932400e-01 7.12277370e-02 -2.54929373e-07 9.96594277e-01 9.99999490e-01 1.14260487e+00 9.86165002e-01
4.48798951e-01 4.77400746e-02 -1.89603442e-06 9.96600860e-01 9.99996208e-01 1.15917992e+00 1.01060718e+00
4.98665501e-01 3.00157440e-02 -1.01746364e-05 9.96614104e-01 9.99979651e-01 1.16862473e+00 1.02364592e+00
5.48532051e-01 1.74296344e-02 -4.02295179e-05 9.96644848e-01 9.99919541e-01 1.17394516e+00 1.03019159e+00
5.98398601e-01 8.92443372e-03 -1.20356329e-04 9.96713771e-01 9.99759287e-01 1.17695429e+00 1.03330903e+00
6.48265151e-01 3.53043552e-03 -2.80731059e-04 9.96854100e-01 9.99438538e-01 1.17867471e+00 1.03472811e+00
6.98131701e-01 4.66871727e-04 -5.27457260e-04 9.97107822e-01 9.98945085e-01 1.17963912e+00 1.03534469e+00
7.47998251e-01 -9.06307947e-04 -8.26434460e-04 9.97507458e-01 9.98347127e-01 1.18011281e+00 1.03558522e+00
7.97864801e-01 -9.77163384e-04 -1.08089364e-03 9.98045648e-01 9.97762094e-01 1.18020235e+00 1.03562579e+00
8.47731351e-01 -6.73897329e-04 -4.01543947e-04 9.98652205e-01 9.97288549e-01 1.17992903e+00 1.03549678e+00
8.97597901e-01 -3.94507323e-04 1.75032678e-03 9.99210985e-01 9.96964239e-01 1.17923028e+00 1.03510228e+00
9.47464451e-01 -1.89247838e-04 5.88719244e-03 9.99621504e-01 9.96772479e-01 1.17793473e+00 1.03416036e+00
9.97331001e-01 -7.19219749e-05 1.27340283e-02 9.99856156e-01 9.96672799e-01 1.17566023e+00 1.03204578e+00
1.04719755e+00 -2.09860752e-05 2.31460550e-02 9.99958028e-01 9.96626237e-01 1.17166458e+00 1.02750116e+00
1.09706410e+00 -4.57003048e-06 3.81834286e-02 9.99990860e-01 9.96606148e-01 1.16457308e+00 1.01819703e+00
1.14693065e+00 -7.24814488e-07 5.87132833e-02 9.99998550e-01 9.96597140e-01 1.15203011e+00 1.00020001e+00
1.19679720e+00 -8.26221642e-08 8.53414491e-02 9.99999835e-01 9.96591826e-01 1.13027706e+00 9.67566304e-01
1.24666375e+00 -7.41996009e-09 1.17876057e-01 9.99999985e-01 9.96587247e-01 1.09376473e+00 9.12489442e-01
1.29653030e+00 -1.33338940e-09 1.55370827e-01 9.99999997e-01 9.96582594e-01 1.03499710e+00 8.26575042e-01
1.34639685e+00 -9.98989169e-10 1.96078050e-01 9.99999998e-01 9.96578002e-01 9.45021916e-01 7.03662279e-01
1.39626340e+00 -9.88754301e-10 2.36141297e-01 9.99999998e-01 9.96573992e-01 8.15100796e-01 5.43947515e-01
1.44612995e+00 -9.90582116e-10 2.71636153e-01 9.99999998e-01 9.96571207e-01 6.39394778e-01 3.58256059e-01
1.49599650e+00 -9.92363081e-10 2.98281758e-01 9.99999998e-01 9.96570006e-01 4.16953325e-01 1.71580562e-01
1.54586305e+00 -9.93437221e-10 3.12681378e-01 9.99999998e-01 9.96569889e-01 1.50004790e-01 2.86661637e-02
1.59572960e+00 -9.93437388e-10 3.12681378e-01 9.99999998e-01 9.96569889e-01 1.50004790e-01 2.86661637e-02
1.64559615e+00 -9.92363192e-10 2.98281758e-01 9.99999998e-01 9.96570006e-01 4.16953325e-01 1.71580562e-01
1.69546270e+00 -9.90582172e-10 2.71636153e-01 9.99999998e-01 9.96571207e-01 6.39394778e-01 3.58256059e-01
1.74532925e+00 -9.88754190e-10 2.36141297e-01 9.99999998e-01 9.96573992e-01 8.15100796e-01 5.43947515e-01
1.79519580e+00 -9.98989169e-10 1.96078050e-01 9.99999998e-01 9.96578002e-01 9.45021916e-01 7.03662279e-01
1.84506235e+00 -1.33338945e-09 1.55370827e-01 9.99999997e-01 9.96582594e-01 1.03499710e+00 8.26575042e-01
1.89492890e+00 -7.41995992e-09 1.17876057e-01 9.99999985e-01 9.96587247e-01 1.09376473e+00 9.12489442e-01
1.94479545e+00 -8.26221640e-08 8.53414491e-02 9.99999835e-01 9.96591826e-01 1.13027706e+00 9.67566304e-01
1.99466200e+00 -7.24814488e-07 5.87132833e-02 9.99998550e-01 9.96597140e-01 1.15203011e+00 1.00020001e+00
2.04452855e+00 -4.57003048e-06 3.81834286e-02 9.99990860e-01 9.96606148e-01 1.16457308e+00 1.01819703e+00
2.09439510e+00 -2.09860752e-05 2.31460550e-02 9.99958028e-01 9.96626237e-01 1.17166458e+00 1.02750116e+00
2.14426165e+00 -7.19219749e-05 1.27340283e-02 9.99856156e-01 9.96672799e-01 1.17566023e+00 1.03204578e+00
2.19412820e+00 -1.89247838e-04 5.88719244e-03 9.99621504e-01 9.96772479e-01 1.17793473e+00 1.03416036e+00
2.24399475e+00 -3.94507323e-04 1.75032678e-03 9.99210985e-01 9.96964239e-01 1.17923028e+00 1.03510228e+00
2.29386130e+00 -6.73897329e-04 -4.01543947e-04 9.98652205e-01 9.97288549e-01 1.17992903e+00 1.03549678e+00
2.34372785e+00 -9.77163384e-04 -1.08089364e-03 9.98045648e-01 9.97762094e-01 1.18020235e+00 1.03562579e+00
2.39359440e+00 -9.06307947e-04 -8.26434460e-04 9.97507458e-01 9.98347127e-01 1.18011281e+00 1.03558522e+00
2.44346095e+00 4.66871727e-04 -5.27457260e-04 9.97107822e-01 9.98945085e-01 1.17963912e+00 1.03534469e+00
2.49332750e+00 3.53043552e-03 -2.80731059e-04 9.96854100e-01 9.99438538e-01 1.17867471e+00 1.03472811e+00
2.54319405e+00 8.92443372e-03 -1.20356329e-04 9.96713771e-01 9.99759287e-01 1.17695429e+00 1.03330903e+00
2.59306060e+00 1.74296344e-02 -4.02295179e-05 9.96644848e-01 9.99919541e-01 1.17394516e+00 1.03019159e+00
2.64292715e+00 3.00157440e-02 -1.01746364e-05 9.96614104e-01 9.99979651e-01 1.16862473e+00 1.02364592e+00
2.69279370e+00 4.77400746e-02 -1.89603442e-06 9.96600860e-01 9.99996208e-01 1.15917992e+00 1.01060718e+00
2.74266025e+00 7.12277370e-02 -2.54929373e-07 9.96594277e-01 9.99999490e-01 1.14260487e+00 9.86165002e-01
2.79252680e+00 1.00917771e-01 -2.49803780e-08 9.96589528e-01 9.99999950e-01 1.11428924e+00 9.43369229e-01
2.84239335e+00 1.36001961e-01 -2.55603672e-09 9.96584935e-01 9.99999995e-01 1.06770093e+00 8.73868274e-01
2.89225990e+00 1.75579730e-01 -1.05543058e-09 9.96580263e-01 9.99999998e-01 9.94490106e-01 7.69933224e-01
2.94212645e+00 2.16414952e-01 -9.89419435e-10 9.96575884e-01 9.99999998e-01 8.85522294e-01 6.28022342e-01
2.99199300e+00 2.54753601e-01 -9.89578031e-10 9.96572410e-01 9.99999998e-01 7.33147107e-01 4.53158251e-01
3.04185955e+00 2.86308168e-01 -9.91532689e-10 9.96570416e-01 9.99999998e-01 5.33896520e-01 2.62823599e-01
3.09172610e+00 3.07169602e-01 -9.93019722e-10 9.96569878e-01 9.99999998e-01 2.88923284e-01 9.07045678e-02
3.14159265e+00 3.14540935e-01 -9.93577887e-10 9.96569909e-01 9.99999998e-01 0.00000000e+00 -0.00000000e+00
